클래스,파일명,예측_라벨,예측_클래스,신뢰도,정확_여부
Western Corn Rootworms,Image_1.jpg,a photo of adult Corn Borers,Corn Borers,0.11328125,오류
Western Corn Rootworms,Image_2.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.263671875,정확
Western Corn Rootworms,Image_3.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.2314453125,정확
Western Corn Rootworms,Image_4.jpg,a photo of adult Corn Earworms,Corn Earworms,0.154296875,오류
Western Corn Rootworms,Image_5.jpg,a photo of egg Corn Borers,Corn Borers,0.10888671875,오류
Western Corn Rootworms,Image_6.jpg,a photo of adult Corn Borers,Corn Borers,0.1884765625,오류
Western Corn Rootworms,Image_7.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.38671875,정확
Western Corn Rootworms,Image_8.jpg,a photo of adult Thrips,Thrips,0.234375,오류
Western Corn Rootworms,Image_9.jpg,a photo of adult Corn Earworms,Corn Earworms,0.09375,오류
Western Corn Rootworms,Image_10.jpg,a photo of adult Aphids,Aphids,0.26171875,오류
Western Corn Rootworms,Image_11.jpg,a photo of pupa Corn Earworms,Corn Earworms,0.07275390625,오류
Western Corn Rootworms,Image_12.jpg,a photo of adult Thrips,Thrips,0.2021484375,오류
Western Corn Rootworms,Image_14.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.380859375,정확
Western Corn Rootworms,Image_16.jpg,a photo of egg Corn Borers,Corn Borers,0.328125,오류
Western Corn Rootworms,Image_17.jpg,a photo of adult Aphids,Aphids,0.154296875,오류
Western Corn Rootworms,Image_18.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.1865234375,정확
Western Corn Rootworms,Image_19.jpg,a photo of pupa Thrips,Thrips,0.12890625,오류
Western Corn Rootworms,Image_20.png,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.421875,정확
Western Corn Rootworms,Image_21.png,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.2001953125,정확
Western Corn Rootworms,Image_22.jpg,a photo of pupa Western Corn Rootworms,Western Corn Rootworms,0.185546875,정확
Western Corn Rootworms,Image_23.jpg,a photo of adult Aphids,Aphids,0.236328125,오류
Western Corn Rootworms,Image_24.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.244140625,오류
Western Corn Rootworms,Image_25.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.1650390625,정확
Western Corn Rootworms,Image_26.jpg,a photo of adult Thrips,Thrips,0.3125,오류
Western Corn Rootworms,Image_27.gif,a photo of adult Aphids,Aphids,0.1376953125,오류
Western Corn Rootworms,Image_28.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.162109375,오류
Western Corn Rootworms,Image_29.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.482421875,정확
Western Corn Rootworms,Image_30.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.35546875,정확
Western Corn Rootworms,Image_31.jpg,a photo of egg Corn Borers,Corn Borers,0.205078125,오류
Western Corn Rootworms,Image_32.jpg,a photo of egg Corn Borers,Corn Borers,0.1982421875,오류
Western Corn Rootworms,Image_33.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.365234375,정확
Western Corn Rootworms,Image_34.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.1328125,정확
Western Corn Rootworms,Image_35.gif,a photo of adult Thrips,Thrips,0.376953125,오류
Western Corn Rootworms,Image_36.png,a photo of pupa Thrips,Thrips,0.2021484375,오류
Western Corn Rootworms,Image_37.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.21875,정확
Western Corn Rootworms,Image_38.jpg,a photo of pupa Corn Earworms,Corn Earworms,0.1728515625,오류
Western Corn Rootworms,Image_39.png,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.193359375,정확
Western Corn Rootworms,Image_40.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.203125,정확
Western Corn Rootworms,Image_41.jpg,a photo of adult Corn Borers,Corn Borers,0.1796875,오류
Western Corn Rootworms,Image_42.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.279296875,정확
Western Corn Rootworms,Image_43.jpg,a photo of larva Corn Earworms,Corn Earworms,0.1015625,오류
Western Corn Rootworms,Image_44.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.365234375,정확
Western Corn Rootworms,Image_45.png,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.439453125,정확
Western Corn Rootworms,Image_46.jpg,a photo of egg Corn Borers,Corn Borers,0.267578125,오류
Western Corn Rootworms,Image_47.jpg,a photo of egg Armyworms,Armyworms,0.271484375,오류
Western Corn Rootworms,Image_48.png,a photo of adult Corn Borers,Corn Borers,0.345703125,오류
Western Corn Rootworms,Image_49.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.298828125,정확
Western Corn Rootworms,Image_50.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.12890625,정확
Western Corn Rootworms,Image_51.png,a photo of pupa Armyworms,Armyworms,0.130859375,오류
Western Corn Rootworms,Image_53.jpg,a photo of adult Corn Borers,Corn Borers,0.103515625,오류
Western Corn Rootworms,Image_54.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.2041015625,정확
Western Corn Rootworms,Image_56.jpg,a photo of adult Corn Earworms,Corn Earworms,0.298828125,오류
Western Corn Rootworms,Image_57.jpg,a photo of adult Corn Borers,Corn Borers,0.23046875,오류
Western Corn Rootworms,Image_58.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.1552734375,정확
Western Corn Rootworms,Image_59.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.212890625,정확
Western Corn Rootworms,Image_60.jpg,a photo of adult Aphids,Aphids,0.26171875,오류
Western Corn Rootworms,Image_61.jpg,a photo of egg Corn Borers,Corn Borers,0.171875,오류
Western Corn Rootworms,Image_62.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.1474609375,정확
Western Corn Rootworms,Image_63.png,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.4609375,정확
Western Corn Rootworms,Image_64.gif,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.75390625,정확
Western Corn Rootworms,Image_65.jpg,a photo of larva Corn Borers,Corn Borers,0.1689453125,오류
Western Corn Rootworms,Image_66.jpg,a photo of egg Corn Borers,Corn Borers,0.10888671875,오류
Western Corn Rootworms,Image_67.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.2158203125,정확
Western Corn Rootworms,Image_68.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.1943359375,정확
Western Corn Rootworms,Image_69.jpg,a photo of egg Corn Borers,Corn Borers,0.2119140625,오류
Western Corn Rootworms,Image_70.jpg,a photo of adult Colorado Potato Beetles,Colorado Potato Beetles,0.482421875,오류
Western Corn Rootworms,Image_71.jpg,a photo of adult Western Corn Rootworms,Western Corn Rootworms,0.2451171875,정확
Western Corn Rootworms,Image_72.jpg,a photo of egg Corn Borers,Corn Borers,0.1484375,오류
Western Corn Rootworms,Image_73.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.162109375,정확
Western Corn Rootworms,Image_74.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.1298828125,정확
Western Corn Rootworms,Image_75.jpg,a photo of adult Aphids,Aphids,0.26171875,오류
Western Corn Rootworms,Image_76.jpg,a photo of adult Corn Borers,Corn Borers,0.349609375,오류
Western Corn Rootworms,Image_77.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.20703125,정확
Western Corn Rootworms,Image_78.jpg,a photo of adult Thrips,Thrips,0.302734375,오류
Western Corn Rootworms,Image_79.jpg,a photo of egg Corn Borers,Corn Borers,0.193359375,오류
Western Corn Rootworms,Image_80.jpg,a photo of egg Corn Borers,Corn Borers,0.2158203125,오류
Western Corn Rootworms,Image_81.jpg,a photo of egg Corn Borers,Corn Borers,0.443359375,오류
Western Corn Rootworms,Image_82.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.244140625,정확
Western Corn Rootworms,Image_83.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.2138671875,정확
Western Corn Rootworms,Image_84.jpg,a photo of egg Corn Borers,Corn Borers,0.26953125,오류
Western Corn Rootworms,Image_85.jpg,a photo of adult Aphids,Aphids,0.197265625,오류
Western Corn Rootworms,Image_86.jpg,a photo of larva Armyworms,Armyworms,0.1259765625,오류
Western Corn Rootworms,Image_87.jpg,a photo of adult Corn Borers,Corn Borers,0.1787109375,오류
Western Corn Rootworms,Image_88.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.34765625,정확
Western Corn Rootworms,Image_89.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.73046875,정확
Western Corn Rootworms,Image_90.png,a photo of adult Corn Borers,Corn Borers,0.345703125,오류
